cell_label,x,y,z,Drd1,Drd2,Tac1,Adora2a,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Agrp,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Irs1,Irs2,Mc4r,Npy1r,Npy2r,Npy5r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3,Plxnc1,Nrp2,brain_section_label
1.0171559561013e+18,3.97630637198114,7.67301614482855,9,5.26,0.0596,9.89,0.2002,1.6875,0.4946,0.05844,1.654,0.5723,0.3462,1.366,3.793,0.862,0,0.05505,0,0.9023,2.064,0,7.105,0.304,3.584,1.778,0.2705,5.19,9.055,2.457,2.021,3.172,9.3,C57BL6J-638850.48
1.01715595610098e+18,3.07994727750503,7.34004195139678,9,6.332,0,10.34,0.505,1.292,0.533,0,2.965,0.2957,0,1.759,2.438,0.191,0,0.3027,0,0.677,1.18,0,8.58,0,3.299,2.44,0.2408,6.254,10.016,4.074,3.37,1.961,9.58,C57BL6J-638850.48
1.01715595610114e+18,3.46179564494991,7.44960508471909,9,5.895,0,10.54,0.6123,1.216,0.774,0,2.742,0.2634,0,0.7437,2.268,0.364,0,0.1652,0,0.8457,0.7036,0,8.59,0,3.314,1.958,0.2456,5.97,9.68,3.646,3.303,1.743,9.55,C57BL6J-638850.48
1.0171559562013e+18,3.72235705086428,7.58950700587884,9,6.25,0.03012,10.25,0.6084,1.235,0.5317,0,2.672,0.08417,0.03232,1.417,2.365,0.2856,0,0.1652,0,0.84,0.826,0,8.59,0,2.799,2.445,0.2418,6.36,9.87,4.156,3.584,1.85,9.62,C57BL6J-638850.48
1.01715595610114e+18,3.4882896762821,7.46369525254354,9,6.44,0.06024,10.3,0.574,1.354,0.549,0,3.312,0.1879,0.1293,1.475,2.238,0.169,0,0.2202,0,0.896,0.951,0,8.63,0,3.164,2.475,0.1605,6.195,10.01,4.16,3.51,2.143,9.586,C57BL6J-638850.48
1.0171559561013e+18,3.75484276516746,7.64437870580262,9,6.234,0,10.3,0.4573,1.471,0.4941,0,2.533,0.3354,0,1.652,2.377,0.2832,0,0.2202,0,0.7173,1.282,0,8.46,0,2.973,2.559,0.2676,6.08,9.99,3.918,3.418,2.014,9.586,C57BL6J-638850.48
1.01715595610114e+18,3.51153913037004,7.46983404185862,9,6.445,0.0904,10.31,0.6694,1.53,0.7593,0,3.418,0.1078,0.1293,1.933,2.664,0.2223,0,0.1652,0,0.7856,0.6606,0,8.75,0,3.133,2.121,0.1338,6.58,9.945,4.48,2.846,2.031,9.53,C57BL6J-638850.48
1.0171559561013e+18,3.80101389347985,7.61220641294909,9,6.24,0.06024,10.234,0.61,1.451,0.603,0,2.33,0.2019,0.03232,1.558,2.088,0.3572,0,0.1101,0,0.767,1.061,0,8.46,0,2.889,1.965,0.2141,6.094,9.93,3.848,2.695,1.972,9.52,C57BL6J-638850.48
1.01715595610098e+18,3.0583986144821,7.3227231498095,9,6.176,0,10.42,0.538,1.158,0.639,0,3.166,0.2952,0.03232,1.43,2.25,0.1641,0,0.3027,0,0.6855,1.151,0,8.59,0,3.465,2.016,0.2428,6.33,9.94,4.043,3.213,1.965,9.516,C57BL6J-638850.48
1.0171559562013e+18,3.71406949861913,7.71814022714567,9,5.773,0,10.37,0.3125,1.458,0.475,0,1.965,0.2886,0.09894,1.573,2.373,0.3914,0,0.2078,0,0.7007,1.26,0,7.977,0,3.197,2.27,0.2954,5.88,9.625,3.2,2.836,1.868,9.555,C57BL6J-638850.48
1.01715595610114e+18,3.46491472596156,7.49197189751013,9,6.18,0,10.39,0.4907,1.178,0.505,0,2.486,0.1149,0,1.8545,2.242,0.3198,0,0.1927,0,0.6084,0.949,0,8.414,0,2.951,2.295,0.2961,6.094,9.766,3.963,3.027,1.798,9.55,C57BL6J-638850.48
1.0171559561013e+18,3.71983076101758,7.73634848123587,9,6.016,0,10.4,0.4622,1.281,0.5645,0,2.295,0.2366,0.153,1.382,2.582,0.264,0,0.1377,0,0.7935,1.138,0,8.23,0,3.016,2.445,0.2686,5.777,9.836,3.303,3.643,2.207,9.61,C57BL6J-638850.48
1.01715595620114e+18,3.45066103938299,7.46597136459953,9,6.348,0,10.31,0.5137,1.212,0.5225,0,2.656,0.1907,0,1.71,2.193,0.2238,0,0.2202,0,0.635,1.224,0,8.52,0,2.865,2.373,0.2944,6.164,10.05,4.06,3.531,1.973,9.57,C57BL6J-638850.48
